-21.32326, 22.88454, -5.801756, 1
3.312613, 24.98044, -8.480264, 1
8.909414, 21.54527, -8.090213, 1
11.58792, 6.127879, -4.387205, 1
7.330373, 1.854349, -2.925752, 1
12.92717, -1.580819, -2.535701, 1
15.60568, -16.99822, 1.167306, 1
11.34813, -21.27175, 2.62876, 1
-13.28774, -23.36765, 5.307267, 1
-15.72646, 19.44937, -5.411706, 1
3.98224, 21.12609, -7.554512, 1
-13.04795, 4.031976, -1.708698, 1
6.660747, 5.708698, -3.851504, 1
-11.7087, -3.676723, 0.1428056, 1
8, -2, -2, 1
-9.030191, -19.09412, 3.845813, 1
10.67851, -17.4174, 1.703008, 1
-20.27531, 24.85257, 1.906942, 1
4.360565, 26.94847, -0.7715652, 1
9.957366, 23.5133, -0.3815147, 1
12.63587, 8.095903, 3.321493, 1
8.378325, 3.822374, 4.782947, 1
13.97513, 0.3872052, 5.172997, 1
16.65363, -15.03019, 8.876004, 1
12.39609, -19.30372, 10.33746, 1
-12.23979, -21.39962, 13.01596, 1
-14.67851, 21.4174, 2.296992, 1
5.030191, 23.09412, 0.1541867, 1
-12, 6, 6, 1
7.708698, 7.676723, 3.857194, 1
-10.66075, -1.708698, 7.851504, 1
9.047952, -0.03197551, 5.708698, 1
-7.98224, -17.12609, 11.55451, 1
11.72646, -15.44937, 9.411706, 1
